language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,vernacularName,nomenclaturalCode,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_114,Larus marinus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,species,Grote mantelmeeuw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_115,Larus melanocephalus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,species,Zwartkopmeeuw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_116,Larus michahellis,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,species,Geelpootmeeuw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_117,Larus ridibundus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,species,Kokmeeuw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_118,Limosa limosa,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,species,Grutto,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_119,Locustella luscinioides,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Locustella,species,Snor,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_12,Alcedo atthis,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,species,IJsvogel,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_120,Locustella naevia,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Locustella,species,Sprinkhaanzanger,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_121,Loxia curvirostra,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,species,Kruisbek,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_122,Loxia pytyopsittacus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,species,Grote kruisbek,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_123,Lullula arborea,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Lullula,species,Boomleeuwerik,ICZN,accepted
